Knoten;;Bezugs-;Koordinaten-;Knotenkoordinaten;;;
Nr.;Knotentyp;Knoten;System;X [m];Y [m];Z [m];Kommentar
406;Standard;0;Kartesisch;-0.250;3.500;0.000;
407;Standard;0;Kartesisch;0.000;-3.500;0.000;
408;Standard;0;Kartesisch;0.000;-3.250;0.000;
409;Standard;0;Kartesisch;0.000;-3.000;0.000;
410;Standard;0;Kartesisch;0.000;-2.750;0.000;
411;Standard;0;Kartesisch;0.000;-2.500;0.000;
412;Standard;0;Kartesisch;0.000;-2.250;0.000;
413;Standard;0;Kartesisch;0.000;-2.000;0.000;
414;Standard;0;Kartesisch;0.000;-1.750;0.000;
415;Standard;0;Kartesisch;0.000;-1.500;0.000;
416;Standard;0;Kartesisch;0.000;-1.250;0.000;
417;Standard;0;Kartesisch;0.000;-1.000;0.000;
418;Standard;0;Kartesisch;0.000;-0.750;0.000;
419;Standard;0;Kartesisch;0.000;-0.500;0.000;
420;Standard;0;Kartesisch;0.000;-0.250;0.000;
421;Standard;0;Kartesisch;0.000;0.000;0.000;	
422;Standard;0;Kartesisch;0.000;0.250;0.000;
423;Standard;0;Kartesisch;0.000;0.500;0.000;
424;Standard;0;Kartesisch;0.000;0.750;0.000;
425;Standard;0;Kartesisch;0.000;1.000;0.000;
426;Standard;0;Kartesisch;0.000;1.250;0.000;
427;Standard;0;Kartesisch;0.000;1.500;0.000;
428;Standard;0;Kartesisch;0.000;1.750;0.000;
429;Standard;0;Kartesisch;0.000;2.000;0.000;
430;Standard;0;Kartesisch;0.000;2.250;0.000;
431;Standard;0;Kartesisch;0.000;2.500;0.000;
432;Standard;0;Kartesisch;0.000;2.750;0.000;
433;Standard;0;Kartesisch;0.000;3.000;0.000;
434;Standard;0;Kartesisch;0.000;3.250;0.000;
435;Standard;0;Kartesisch;0.000;3.500;0.000;
436;Standard;0;Kartesisch;0.250;-3.500;0.000;
437;Standard;0;Kartesisch;0.250;-3.250;0.000;
438;Standard;0;Kartesisch;0.250;-3.000;0.000;
439;Standard;0;Kartesisch;0.250;-2.750;0.000;
440;Standard;0;Kartesisch;0.250;-2.500;0.000;
441;Standard;0;Kartesisch;0.250;-2.250;0.000;
442;Standard;0;Kartesisch;0.250;-2.000;0.000;
443;Standard;0;Kartesisch;0.250;-1.750;0.000;
444;Standard;0;Kartesisch;0.250;-1.500;0.000;
445;Standard;0;Kartesisch;0.250;-1.250;0.000;
446;Standard;0;Kartesisch;0.250;-1.000;0.000;
447;Standard;0;Kartesisch;0.250;-0.750;0.000;
448;Standard;0;Kartesisch;0.250;-0.500;0.000;
449;Standard;0;Kartesisch;0.250;-0.250;0.000;
450;Standard;0;Kartesisch;0.250;0.000;0.000;
451;Standard;0;Kartesisch;0.250;0.250;0.000;
452;Standard;0;Kartesisch;0.250;0.500;0.000;
453;Standard;0;Kartesisch;0.250;0.750;0.000;
454;Standard;0;Kartesisch;0.250;1.000;0.000;
455;Standard;0;Kartesisch;0.250;1.250;0.000;
456;Standard;0;Kartesisch;0.250;1.500;0.000;
457;Standard;0;Kartesisch;0.250;1.750;0.000;
458;Standard;0;Kartesisch;0.250;2.000;0.000;
459;Standard;0;Kartesisch;0.250;2.250;0.000;
460;Standard;0;Kartesisch;0.250;2.500;0.000;
461;Standard;0;Kartesisch;0.250;2.750;0.000;
462;Standard;0;Kartesisch;0.250;3.000;0.000;
463;Standard;0;Kartesisch;0.250;3.250;0.000;
464;Standard;0;Kartesisch;0.250;3.500;0.000;
