Fläche;Rasterpunkt-Koordinaten [m];;
Nr.;X;Y;Z
657;1.125;3.125;0.000
658;1.125;3.375;0.000
659;1.375;0.125;0.000
660;1.375;0.375;0.000
661;1.375;0.625;0.000
662;1.375;0.875;0.000
663;1.375;1.125;0.000
664;1.375;1.375;0.000
665;1.375;1.625;0.000
666;1.375;1.875;0.000
667;1.375;2.125;0.000
668;1.375;2.375;0.000
669;1.375;2.625;0.000
670;1.375;2.875;0.000
671;1.375;3.125;0.000
672;1.375;3.375;0.000
673;1.625;0.125;0.000
674;1.625;0.375;0.000
675;1.625;0.625;0.000
676;1.625;0.875;0.000
677;1.625;1.125;0.000
678;1.625;1.375;0.000
679;1.625;1.625;0.000
680;1.625;1.875;0.000
681;1.625;2.125;0.000
682;1.625;2.375;0.000
683;1.625;2.625;0.000
684;1.625;2.875;0.000
685;1.625;3.125;0.000
686;1.625;3.375;0.000
687;1.875;0.125;0.000
688;1.875;0.375;0.000
689;1.875;0.625;0.000
690;1.875;0.875;0.000
691;1.875;1.125;0.000
692;1.875;1.375;0.000
693;1.875;1.625;0.000
694;1.875;1.875;0.000
695;1.875;2.125;0.000
696;1.875;2.375;0.000
697;1.875;2.625;0.000
698;1.875;2.875;0.000
699;1.875;3.125;0.000
700;1.875;3.375;0.000
701;2.125;0.125;0.000
702;2.125;0.375;0.000
703;2.125;0.625;0.000
704;2.125;0.875;0.000
705;2.125;1.125;0.000
706;2.125;1.375;0.000
707;2.125;1.625;0.000
708;2.125;1.875;0.000
709;2.125;2.125;0.000
710;2.125;2.375;0.000
711;2.125;2.625;0.000
712;2.125;2.875;0.000
713;2.125;3.125;0.000
714;2.125;3.375;0.000
715;2.375;0.125;0.000
716;2.375;0.375;0.000
717;2.375;0.625;0.000
718;2.375;0.875;0.000
719;2.375;1.125;0.000
720;2.375;1.375;0.000
721;2.375;1.625;0.000
722;2.375;1.875;0.000
723;2.375;2.125;0.000
724;2.375;2.375;0.000
725;2.375;2.625;0.000
726;2.375;2.875;0.000
727;2.375;3.125;0.000
728;2.375;3.375;0.000
729;2.625;0.125;0.000
730;2.625;0.375;0.000
731;2.625;0.625;0.000
732;2.625;0.875;0.000
733;2.625;1.125;0.000
734;2.625;1.375;0.000
735;2.625;1.625;0.000
736;2.625;1.875;0.000
737;2.625;2.125;0.000
738;2.625;2.375;0.000
739;2.625;2.625;0.000
740;2.625;2.875;0.000
741;2.625;3.125;0.000
742;2.625;3.375;0.000
743;2.875;0.125;0.000
744;2.875;0.375;0.000
745;2.875;0.625;0.000
746;2.875;0.875;0.000
747;2.875;1.125;0.000
748;2.875;1.375;0.000
749;2.875;1.625;0.000
750;2.875;1.875;0.000
751;2.875;2.125;0.000
752;2.875;2.375;0.000
753;2.875;2.625;0.000
754;2.875;2.875;0.000
755;2.875;3.125;0.000
756;2.875;3.375;0.000
757;3.125;0.125;0.000
758;3.125;0.375;0.000
759;3.125;0.625;0.000
760;3.125;0.875;0.000
761;3.125;1.125;0.000
762;3.125;1.375;0.000
763;3.125;1.625;0.000
764;3.125;1.875;0.000
765;3.125;2.125;0.000
766;3.125;2.375;0.000
767;3.125;2.625;0.000
768;3.125;2.875;0.000
769;3.125;3.125;0.000
770;3.125;3.375;0.000
771;3.375;0.125;0.000
772;3.375;0.375;0.000
773;3.375;0.625;0.000
774;3.375;0.875;0.000
775;3.375;1.125;0.000
776;3.375;1.375;0.000
777;3.375;1.625;0.000
778;3.375;1.875;0.000
779;3.375;2.125;0.000
780;3.375;2.375;0.000
781;3.375;2.625;0.000
782;3.375;2.875;0.000
783;3.375;3.125;0.000
784;3.375;3.375;0.000
