Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
6421;1;9.250;8.550;-3.557;0.07;0.01;-0.03;-0.08;-0.08;0.81;-1.19;-5.33
6422;1;9.250;8.650;-3.574;0.07;0.01;-0.03;-0.04;-0.09;0.80;-1.61;-5.19
6423;1;9.250;8.750;-3.591;0.07;0.01;-0.03;-0.01;-0.09;0.81;-1.95;-4.97
6424;1;9.250;8.850;-3.609;0.06;0.01;-0.03;0.03;-0.09;0.80;-2.19;-4.69
6425;1;9.250;8.950;-3.626;0.05;0.00;-0.03;0.05;-0.09;0.79;-2.34;-4.38
6426;1;9.250;9.050;-3.643;0.04;0.00;-0.03;0.07;-0.09;0.76;-2.41;-4.05
6427;1;9.250;9.150;-3.660;0.03;0.00;-0.02;0.08;-0.09;0.71;-2.43;-3.74
6428;1;9.250;9.250;-3.677;0.02;-0.01;-0.02;0.08;-0.08;0.67;-2.39;-3.43
6429;1;9.250;9.350;-3.695;0.02;-0.01;-0.02;0.07;-0.07;0.62;-2.32;-3.15
6430;1;9.250;9.450;-3.712;0.01;-0.01;-0.02;0.07;-0.07;0.58;-2.22;-2.89
6431;1;9.250;9.550;-3.729;0.00;-0.02;-0.01;0.07;-0.06;0.55;-2.11;-2.66
6432;1;9.250;9.650;-3.746;-0.01;-0.02;-0.01;0.06;-0.06;0.52;-1.99;-2.46
6433;1;9.250;9.750;-3.763;-0.01;-0.03;-0.01;0.06;-0.06;0.51;-1.86;-2.28
6434;1;9.250;9.850;-3.780;-0.02;-0.03;0.00;0.05;-0.06;0.51;-1.74;-2.13
6435;1;9.250;9.950;-3.798;-0.02;-0.04;0.00;0.04;-0.05;0.53;-1.62;-2.01
6436;1;9.350;8.050;-3.496;0.03;-0.08;0.03;-0.40;0.05;2.01;0.02;-3.08
6437;1;9.350;8.150;-3.512;0.05;-0.06;0.00;-0.24;0.06;1.04;0.02;-3.75
6438;1;9.350;8.250;-3.529;0.06;-0.04;-0.01;-0.20;0.04;0.57;-0.20;-4.20
6439;1;9.350;8.350;-3.545;0.06;-0.02;-0.02;-0.15;0.01;0.35;-0.58;-4.50
6440;1;9.350;8.450;-3.562;0.07;-0.01;-0.03;-0.11;-0.01;0.26;-0.98;-4.63
6441;1;9.350;8.550;-3.579;0.07;0.00;-0.03;-0.08;-0.03;0.23;-1.37;-4.64
6442;1;9.350;8.650;-3.595;0.07;0.00;-0.03;-0.04;-0.05;0.23;-1.71;-4.54
6443;1;9.350;8.750;-3.612;0.06;0.00;-0.03;0.00;-0.06;0.24;-1.98;-4.37
6444;1;9.350;8.850;-3.628;0.06;0.00;-0.03;0.03;-0.07;0.26;-2.19;-4.15
6445;1;9.350;8.950;-3.645;0.05;0.00;-0.03;0.05;-0.07;0.27;-2.32;-3.89
6446;1;9.350;9.050;-3.661;0.04;0.00;-0.03;0.06;-0.07;0.28;-2.40;-3.62
6447;1;9.350;9.150;-3.678;0.03;0.00;-0.02;0.07;-0.07;0.29;-2.42;-3.36
6448;1;9.350;9.250;-3.695;0.03;-0.01;-0.02;0.07;-0.07;0.29;-2.40;-3.10
6449;1;9.350;9.350;-3.711;0.02;-0.01;-0.02;0.07;-0.07;0.29;-2.34;-2.85
6450;1;9.350;9.450;-3.728;0.01;-0.02;-0.02;0.07;-0.06;0.29;-2.26;-2.63
6451;1;9.350;9.550;-3.744;0.00;-0.02;-0.01;0.07;-0.06;0.31;-2.17;-2.42
6452;1;9.350;9.650;-3.761;-0.01;-0.02;-0.01;0.07;-0.06;0.33;-2.06;-2.24
6453;1;9.350;9.750;-3.777;-0.01;-0.03;-0.01;0.06;-0.06;0.36;-1.95;-2.09
6454;1;9.350;9.850;-3.794;-0.02;-0.03;0.00;0.05;-0.06;0.40;-1.84;-1.96
6455;1;9.350;9.950;-3.810;-0.02;-0.04;0.00;0.05;-0.06;0.46;-1.73;-1.85
6456;1;9.450;8.050;-3.520;0.03;-0.07;0.01;-0.20;0.17;0.99;-0.94;-2.92
6457;1;9.450;8.150;-3.536;0.04;-0.06;0.00;-0.14;0.14;0.36;-0.77;-3.33
6458;1;9.450;8.250;-3.552;0.05;-0.04;-0.01;-0.14;0.09;0.03;-0.83;-3.66
6459;1;9.450;8.350;-3.568;0.06;-0.02;-0.02;-0.12;0.06;-0.15;-1.04;-3.90
6460;1;9.450;8.450;-3.584;0.06;-0.01;-0.03;-0.10;0.02;-0.24;-1.30;-4.03
6461;1;9.450;8.550;-3.600;0.07;-0.01;-0.03;-0.06;0.00;-0.27;-1.58;-4.04
6462;1;9.450;8.650;-3.616;0.07;0.00;-0.03;-0.03;-0.02;-0.26;-1.83;-3.97
6463;1;9.450;8.750;-3.632;0.06;0.00;-0.03;0.01;-0.04;-0.23;-2.05;-3.84
6464;1;9.450;8.850;-3.648;0.06;0.00;-0.03;0.03;-0.05;-0.19;-2.22;-3.66
6465;1;9.450;8.950;-3.664;0.05;0.00;-0.03;0.05;-0.06;-0.15;-2.34;-3.45
6466;1;9.450;9.050;-3.680;0.04;0.00;-0.03;0.06;-0.06;-0.11;-2.41;-3.23
6467;1;9.450;9.150;-3.696;0.03;-0.01;-0.03;0.07;-0.06;-0.07;-2.44;-3.00
6468;1;9.450;9.250;-3.712;0.03;-0.01;-0.02;0.07;-0.06;-0.03;-2.43;-2.77
6469;1;9.450;9.350;-3.728;0.02;-0.01;-0.02;0.07;-0.06;0.01;-2.38;-2.56
6470;1;9.450;9.450;-3.744;0.01;-0.02;-0.02;0.07;-0.06;0.06;-2.32;-2.36
6471;1;9.450;9.550;-3.760;0.00;-0.02;-0.01;0.07;-0.06;0.11;-2.24;-2.19
6472;1;9.450;9.650;-3.775;0.00;-0.02;-0.01;0.07;-0.06;0.17;-2.15;-2.03
6473;1;9.450;9.750;-3.791;-0.01;-0.03;-0.01;0.06;-0.06;0.24;-2.05;-1.89
6474;1;9.450;9.850;-3.807;-0.02;-0.03;-0.01;0.06;-0.06;0.33;-1.95;-1.78
6475;1;9.450;9.950;-3.823;-0.02;-0.04;0.00;0.05;-0.06;0.42;-1.84;-1.69
6476;1;9.550;8.050;-3.545;0.03;-0.07;0.01;-0.12;0.20;0.25;-1.59;-2.81
6477;1;9.550;8.150;-3.560;0.04;-0.05;0.00;-0.08;0.14;-0.16;-1.38;-3.01
6478;1;9.550;8.250;-3.576;0.05;-0.04;-0.01;-0.10;0.12;-0.42;-1.37;-3.23
6479;1;9.550;8.350;-3.591;0.05;-0.02;-0.02;-0.10;0.09;-0.59;-1.47;-3.42
6480;1;9.550;8.450;-3.606;0.06;-0.02;-0.03;-0.08;0.06;-0.67;-1.62;-3.51
6481;1;9.550;8.550;-3.622;0.06;-0.01;-0.03;-0.05;0.02;-0.69;-1.80;-3.53
6482;1;9.550;8.650;-3.637;0.06;-0.01;-0.03;-0.01;0.00;-0.67;-1.98;-3.48
6483;1;9.550;8.750;-3.652;0.06;0.00;-0.03;0.01;-0.03;-0.62;-2.15;-3.37
6484;1;9.550;8.850;-3.668;0.06;0.00;-0.03;0.04;-0.04;-0.56;-2.28;-3.22
6485;1;9.550;8.950;-3.683;0.05;0.00;-0.03;0.05;-0.05;-0.50;-2.38;-3.04
6486;1;9.550;9.050;-3.698;0.04;-0.01;-0.03;0.06;-0.05;-0.43;-2.44;-2.85
6487;1;9.550;9.150;-3.714;0.04;-0.01;-0.03;0.06;-0.05;-0.36;-2.47;-2.66
6488;1;9.550;9.250;-3.729;0.03;-0.01;-0.02;0.07;-0.06;-0.29;-2.47;-2.46
6489;1;9.550;9.350;-3.744;0.02;-0.01;-0.02;0.07;-0.06;-0.21;-2.44;-2.28
6490;1;9.550;9.450;-3.760;0.01;-0.02;-0.02;0.07;-0.06;-0.12;-2.38;-2.10
6491;1;9.550;9.550;-3.775;0.00;-0.02;-0.01;0.07;-0.06;-0.03;-2.32;-1.95
6492;1;9.550;9.650;-3.790;0.00;-0.02;-0.01;0.07;-0.06;0.06;-2.24;-1.81
6493;1;9.550;9.750;-3.805;-0.01;-0.03;-0.01;0.06;-0.06;0.17;-2.15;-1.69
6494;1;9.550;9.850;-3.821;-0.02;-0.03;-0.01;0.06;-0.06;0.28;-2.06;-1.60
6495;1;9.550;9.950;-3.836;-0.02;-0.04;0.00;0.05;-0.06;0.41;-1.96;-1.52
6496;1;9.650;8.050;-3.570;0.03;-0.06;0.01;-0.04;0.20;-0.33;-2.05;-2.67
6497;1;9.650;8.150;-3.585;0.04;-0.04;0.00;-0.07;0.15;-0.59;-1.84;-2.76
6498;1;9.650;8.250;-3.599;0.05;-0.03;-0.01;-0.07;0.14;-0.81;-1.79;-2.91
6499;1;9.650;8.350;-3.614;0.05;-0.02;-0.02;-0.07;0.10;-0.95;-1.83;-3.03
6500;1;9.650;8.450;-3.629;0.06;-0.02;-0.03;-0.05;0.07;-1.03;-1.91;-3.10
6501;1;9.650;8.550;-3.643;0.06;-0.01;-0.03;-0.02;0.04;-1.04;-2.02;-3.10
6502;1;9.650;8.650;-3.658;0.06;-0.01;-0.03;0.00;0.01;-1.00;-2.14;-3.05
6503;1;9.650;8.750;-3.673;0.06;-0.01;-0.03;0.02;-0.01;-0.94;-2.26;-2.95
6504;1;9.650;8.850;-3.687;0.06;0.00;-0.03;0.03;-0.02;-0.87;-2.36;-2.82
6505;1;9.650;8.950;-3.702;0.05;0.00;-0.03;0.04;-0.03;-0.78;-2.43;-2.67
6506;1;9.650;9.050;-3.717;0.04;-0.01;-0.03;0.05;-0.04;-0.69;-2.49;-2.51
6507;1;9.650;9.150;-3.731;0.04;-0.01;-0.03;0.06;-0.05;-0.59;-2.51;-2.34
6508;1;9.650;9.250;-3.746;0.03;-0.01;-0.02;0.07;-0.05;-0.49;-2.51;-2.17
6509;1;9.650;9.350;-3.761;0.02;-0.01;-0.02;0.07;-0.06;-0.38;-2.49;-2.00
6510;1;9.650;9.450;-3.775;0.01;-0.02;-0.02;0.07;-0.06;-0.26;-2.45;-1.85
6511;1;9.650;9.550;-3.790;0.00;-0.02;-0.01;0.07;-0.06;-0.14;-2.39;-1.71
6512;1;9.650;9.650;-3.805;0.00;-0.02;-0.01;0.07;-0.06;-0.01;-2.32;-1.59
6513;1;9.650;9.750;-3.820;-0.01;-0.03;-0.01;0.06;-0.06;0.13;-2.25;-1.49
6514;1;9.650;9.850;-3.834;-0.02;-0.03;-0.01;0.06;-0.06;0.27;-2.17;-1.41
6515;1;9.650;9.950;-3.849;-0.02;-0.04;0.00;0.05;-0.06;0.43;-2.08;-1.34
6516;1;9.750;8.050;-3.595;0.04;-0.05;0.01;-0.02;0.21;-0.72;-2.29;-2.59
6517;1;9.750;8.150;-3.609;0.05;-0.04;0.00;-0.07;0.14;-0.92;-2.14;-2.60
6518;1;9.750;8.250;-3.623;0.05;-0.03;-0.01;-0.05;0.13;-1.11;-2.10;-2.68
6519;1;9.750;8.350;-3.637;0.06;-0.02;-0.02;-0.05;0.10;-1.25;-2.12;-2.75
6520;1;9.750;8.450;-3.651;0.06;-0.02;-0.02;-0.03;0.07;-1.31;-2.15;-2.77
6521;1;9.750;8.550;-3.665;0.06;-0.01;-0.03;-0.01;0.04;-1.31;-2.20;-2.75
6522;1;9.750;8.650;-3.679;0.06;-0.01;-0.03;0.01;0.02;-1.27;-2.28;-2.69
6523;1;9.750;8.750;-3.693;0.06;-0.01;-0.03;0.02;0.00;-1.20;-2.36;-2.60
6524;1;9.750;8.850;-3.707;0.06;-0.01;-0.03;0.03;-0.02;-1.11;-2.43;-2.48
6525;1;9.750;8.950;-3.721;0.05;-0.01;-0.03;0.05;-0.03;-1.01;-2.49;-2.34
6526;1;9.750;9.050;-3.735;0.05;-0.01;-0.03;0.06;-0.04;-0.90;-2.53;-2.19
6527;1;9.750;9.150;-3.749;0.04;-0.01;-0.03;0.07;-0.04;-0.77;-2.55;-2.04
6528;1;9.750;9.250;-3.763;0.03;-0.01;-0.02;0.07;-0.05;-0.64;-2.56;-1.88
6529;1;9.750;9.350;-3.777;0.02;-0.01;-0.02;0.07;-0.06;-0.50;-2.54;-1.74
6530;1;9.750;9.450;-3.791;0.01;-0.02;-0.02;0.08;-0.06;-0.36;-2.51;-1.60
6531;1;9.750;9.550;-3.805;0.01;-0.02;-0.01;0.07;-0.06;-0.21;-2.46;-1.48
6532;1;9.750;9.650;-3.820;0.00;-0.03;-0.01;0.07;-0.06;-0.05;-2.41;-1.38
6533;1;9.750;9.750;-3.834;-0.01;-0.03;-0.01;0.07;-0.06;0.12;-2.34;-1.29
6534;1;9.750;9.850;-3.848;-0.02;-0.03;-0.01;0.06;-0.06;0.29;-2.27;-1.22
6535;1;9.750;9.950;-3.862;-0.02;-0.04;0.00;0.05;-0.06;0.47;-2.19;-1.17
6536;1;9.850;8.050;-3.619;0.05;-0.04;0.00;-0.02;0.20;-1.04;-2.40;-2.52
6537;1;9.850;8.150;-3.633;0.05;-0.03;0.00;-0.06;0.13;-1.21;-2.34;-2.49
6538;1;9.850;8.250;-3.646;0.06;-0.02;-0.01;-0.04;0.11;-1.38;-2.30;-2.51
6539;1;9.850;8.350;-3.660;0.06;-0.02;-0.02;-0.03;0.09;-1.49;-2.31;-2.53
6540;1;9.850;8.450;-3.673;0.06;-0.01;-0.02;-0.01;0.06;-1.54;-2.32;-2.51
6541;1;9.850;8.550;-3.686;0.06;-0.01;-0.03;0.00;0.04;-1.52;-2.34;-2.46
6542;1;9.850;8.650;-3.700;0.06;-0.01;-0.03;0.01;0.02;-1.48;-2.38;-2.39
6543;1;9.850;8.750;-3.713;0.06;-0.01;-0.03;0.02;0.01;-1.40;-2.44;-2.29
6544;1;9.850;8.850;-3.727;0.06;-0.01;-0.03;0.04;-0.01;-1.30;-2.49;-2.17
6545;1;9.850;8.950;-3.740;0.05;-0.01;-0.03;0.05;-0.02;-1.18;-2.53;-2.04
6546;1;9.850;9.050;-3.754;0.05;-0.01;-0.03;0.06;-0.03;-1.05;-2.57;-1.90
6547;1;9.850;9.150;-3.767;0.04;-0.01;-0.03;0.07;-0.04;-0.91;-2.59;-1.76
6548;1;9.850;9.250;-3.780;0.03;-0.01;-0.02;0.07;-0.05;-0.75;-2.59;-1.62
6549;1;9.850;9.350;-3.794;0.02;-0.02;-0.02;0.08;-0.06;-0.59;-2.58;-1.49
6550;1;9.850;9.450;-3.807;0.02;-0.02;-0.02;0.08;-0.06;-0.42;-2.56;-1.37
6551;1;9.850;9.550;-3.821;0.01;-0.02;-0.02;0.08;-0.06;-0.24;-2.53;-1.26
6552;1;9.850;9.650;-3.834;0.00;-0.03;-0.01;0.07;-0.06;-0.05;-2.48;-1.16
6553;1;9.850;9.750;-3.848;-0.01;-0.03;-0.01;0.07;-0.07;0.14;-2.43;-1.09
6554;1;9.850;9.850;-3.861;-0.01;-0.04;-0.01;0.06;-0.07;0.33;-2.36;-1.03
6555;1;9.850;9.950;-3.875;-0.02;-0.04;0.00;0.06;-0.06;0.53;-2.29;-0.98
6556;1;9.950;8.050;-3.644;0.05;-0.04;0.00;-0.02;0.17;-1.33;-2.43;-2.47
6557;1;9.950;8.150;-3.657;0.06;-0.03;0.00;-0.05;0.11;-1.46;-2.44;-2.41
6558;1;9.950;8.250;-3.670;0.06;-0.02;-0.01;-0.04;0.09;-1.60;-2.42;-2.39
6559;1;9.950;8.350;-3.682;0.07;-0.02;-0.02;-0.02;0.08;-1.69;-2.43;-2.37
6560;1;9.950;8.450;-3.695;0.07;-0.01;-0.02;0.00;0.05;-1.72;-2.43;-2.31
6561;1;9.950;8.550;-3.708;0.07;-0.01;-0.02;0.00;0.04;-1.70;-2.44;-2.23
6562;1;9.950;8.650;-3.721;0.07;-0.01;-0.03;0.01;0.02;-1.64;-2.46;-2.14
6563;1;9.950;8.750;-3.734;0.06;-0.01;-0.03;0.03;0.00;-1.56;-2.49;-2.03
6564;1;9.950;8.850;-3.746;0.06;-0.01;-0.03;0.04;-0.01;-1.44;-2.53;-1.91
6565;1;9.950;8.950;-3.759;0.05;-0.01;-0.03;0.05;-0.02;-1.31;-2.56;-1.78
6566;1;9.950;9.050;-3.772;0.05;-0.01;-0.03;0.06;-0.03;-1.16;-2.59;-1.64
6567;1;9.950;9.150;-3.785;0.04;-0.01;-0.02;0.07;-0.04;-0.99;-2.61;-1.50
6568;1;9.950;9.250;-3.798;0.03;-0.01;-0.02;0.07;-0.05;-0.82;-2.62;-1.37
6569;1;9.950;9.350;-3.810;0.02;-0.02;-0.02;0.08;-0.06;-0.63;-2.61;-1.25
6570;1;9.950;9.450;-3.823;0.02;-0.02;-0.02;0.08;-0.06;-0.44;-2.60;-1.14
6571;1;9.950;9.550;-3.836;0.01;-0.02;-0.02;0.08;-0.06;-0.24;-2.58;-1.04
6572;1;9.950;9.650;-3.849;0.00;-0.03;-0.01;0.07;-0.07;-0.03;-2.54;-0.95
6573;1;9.950;9.750;-3.862;-0.01;-0.03;-0.01;0.07;-0.07;0.18;-2.50;-0.89
6574;1;9.950;9.850;-3.875;-0.01;-0.04;-0.01;0.06;-0.07;0.39;-2.44;-0.84
6575;1;9.950;9.950;-3.887;-0.02;-0.04;0.00;0.06;-0.07;0.61;-2.38;-0.80
6576;1;8.200;10.200;-3.723;-0.01;-0.02;0.00;-0.11;-0.07;2.34;-2.22;-2.65
6577;1;8.200;10.600;-3.818;-0.01;-0.04;-0.01;-0.08;-0.09;1.28;-2.11;-1.98
6578;1;8.200;11.000;-3.912;-0.02;-0.07;-0.01;-0.01;-0.07;2.38;-1.68;-1.38
6579;1;8.200;11.400;-4.008;-0.03;-0.07;-0.01;0.07;0.04;6.41;-0.74;-0.72
6580;1;8.200;11.800;-4.102;-0.02;-0.03;-0.01;0.06;0.15;13.11;0.37;-0.13
6581;1;8.600;10.200;-3.767;-0.03;-0.04;0.00;-0.02;-0.05;1.21;-1.20;-2.41
6582;1;8.600;10.600;-3.852;-0.03;-0.06;0.00;-0.02;-0.04;1.03;-0.94;-2.00
6583;1;8.600;11.000;-3.938;-0.02;-0.07;-0.01;-0.01;-0.01;2.51;-0.57;-1.63
6584;1;8.600;11.400;-4.023;-0.02;-0.06;-0.01;0.01;0.06;6.10;-0.01;-1.11
6585;1;8.600;11.800;-4.108;-0.01;-0.03;-0.01;0.01;0.12;11.70;0.54;-0.44
6586;1;9.000;10.200;-3.813;-0.03;-0.05;0.00;0.02;-0.05;0.73;-1.12;-2.07
6587;1;9.000;10.600;-3.888;-0.03;-0.06;0.00;0.00;-0.03;1.17;-0.76;-1.79
6588;1;9.000;11.000;-3.963;-0.03;-0.07;0.00;-0.01;0.01;2.75;-0.34;-1.50
6589;1;9.000;11.400;-4.037;-0.02;-0.06;-0.01;-0.01;0.07;5.75;0.16;-1.06
6590;1;9.000;11.800;-4.113;-0.01;-0.02;-0.01;-0.01;0.11;10.09;0.57;-0.41
6591;1;9.400;10.200;-3.858;-0.03;-0.05;0.00;0.03;-0.05;0.70;-1.51;-1.60
6592;1;9.400;10.600;-3.922;-0.04;-0.06;0.01;0.00;-0.03;1.51;-1.06;-1.44
6593;1;9.400;11.000;-3.987;-0.03;-0.07;0.00;-0.02;0.02;3.00;-0.52;-1.26
6594;1;9.400;11.400;-4.052;-0.03;-0.05;0.00;-0.02;0.07;5.34;0.09;-0.90
6595;1;9.400;11.800;-4.117;-0.02;-0.02;0.00;-0.02;0.10;8.52;0.57;-0.34
6596;1;9.800;10.200;-3.902;-0.03;-0.05;0.00;0.04;-0.06;1.00;-2.01;-1.02
6597;1;9.800;10.600;-3.957;-0.04;-0.07;0.01;0.00;-0.03;1.97;-1.54;-1.02
6598;1;9.800;11.000;-4.012;-0.04;-0.07;0.01;-0.02;0.02;3.24;-0.88;-1.00
6599;1;9.800;11.400;-4.068;-0.03;-0.05;0.00;-0.03;0.07;4.89;-0.09;-0.79
6600;1;9.800;11.800;-4.122;-0.02;-0.02;0.00;-0.02;0.09;7.03;0.54;-0.32
6601;1;10.200;8.200;-3.723;0.07;-0.02;-0.01;-0.04;0.06;-2.00;-2.47;-2.26
6602;1;10.200;8.600;-3.767;0.08;-0.01;-0.02;0.02;0.01;-1.95;-2.49;-1.74
6603;1;10.200;9.000;-3.813;0.06;-0.01;-0.02;0.06;-0.03;-1.35;-2.56;-1.15
6604;1;10.200;9.400;-3.858;0.02;-0.02;-0.02;0.08;-0.06;-0.47;-2.62;-0.66
6605;1;10.200;9.800;-3.902;-0.01;-0.04;-0.01;0.07;-0.07;0.52;-2.57;-0.39
6606;1;10.200;10.200;-3.948;-0.03;-0.05;0.00;0.04;-0.06;1.52;-2.37;-0.38
6607;1;10.200;10.600;-3.993;-0.05;-0.07;0.01;0.01;-0.03;2.50;-1.95;-0.54
6608;1;10.200;11.000;-4.037;-0.05;-0.07;0.01;-0.02;0.02;3.47;-1.23;-0.73
6609;1;10.200;11.400;-4.082;-0.04;-0.05;0.00;-0.03;0.07;4.43;-0.31;-0.74
6610;1;10.200;11.800;-4.128;-0.03;-0.01;0.00;-0.02;0.09;5.54;0.50;-0.37
6611;1;10.600;8.200;-3.818;0.08;-0.02;0.00;-0.07;0.01;-2.08;-2.08;-2.25
6612;1;10.600;8.600;-3.852;0.09;-0.02;-0.01;0.01;-0.01;-1.67;-2.10;-1.36
6613;1;10.600;9.000;-3.888;0.07;-0.02;-0.02;0.07;-0.03;-0.84;-2.18;-0.58
6614;1;10.600;9.400;-3.922;0.03;-0.03;-0.01;0.09;-0.05;0.18;-2.30;-0.02
6615;1;10.600;9.800;-3.957;-0.01;-0.04;-0.01;0.08;-0.05;1.23;-2.39;0.26
6616;1;10.600;10.200;-3.993;-0.03;-0.06;0.00;0.06;-0.04;2.23;-2.34;0.24
6617;1;10.600;10.600;-4.028;-0.05;-0.06;0.01;0.02;-0.01;3.07;-2.05;-0.02
6618;1;10.600;11.000;-4.063;-0.05;-0.06;0.00;-0.01;0.03;3.67;-1.41;-0.39
6619;1;10.600;11.400;-4.097;-0.04;-0.04;0.00;-0.02;0.07;3.95;-0.46;-0.65
6620;1;10.600;11.800;-4.133;-0.04;-0.01;0.00;-0.01;0.08;4.04;0.46;-0.43
6621;1;11.000;8.200;-3.912;0.08;-0.03;0.00;-0.12;-0.02;-0.69;-1.42;-2.36
6622;1;11.000;8.600;-3.938;0.09;-0.03;0.00;0.00;-0.01;0.01;-1.33;-1.25
6623;1;11.000;9.000;-3.963;0.07;-0.03;-0.01;0.07;-0.02;0.85;-1.41;-0.35
6624;1;11.000;9.400;-3.987;0.04;-0.03;-0.01;0.10;-0.02;1.71;-1.56;0.30
6625;1;11.000;9.800;-4.012;0.00;-0.04;0.00;0.09;-0.02;2.49;-1.71;0.66
6626;1;11.000;10.200;-4.037;-0.03;-0.05;0.00;0.07;0.00;3.16;-1.79;0.71
6627;1;11.000;10.600;-4.063;-0.05;-0.05;0.01;0.04;0.02;3.61;-1.67;0.48
6628;1;11.000;11.000;-4.088;-0.05;-0.05;0.01;0.01;0.05;3.74;-1.23;0.02
6629;1;11.000;11.400;-4.113;-0.04;-0.03;0.00;0.00;0.07;3.41;-0.43;-0.44
6630;1;11.000;11.800;-4.137;-0.03;-0.01;0.00;0.01;0.07;2.61;0.45;-0.44
6631;1;11.400;8.200;-4.008;0.07;-0.04;0.01;-0.16;0.02;2.99;-0.58;-2.30
6632;1;11.400;8.600;-4.023;0.09;-0.03;0.00;-0.02;0.01;3.74;-0.43;-1.20
6633;1;11.400;9.000;-4.037;0.08;-0.03;0.00;0.06;0.01;4.28;-0.46;-0.35
6634;1;11.400;9.400;-4.052;0.05;-0.03;0.00;0.09;0.02;4.56;-0.56;0.26
6635;1;11.400;9.800;-4.068;0.01;-0.03;0.00;0.09;0.03;4.60;-0.69;0.67
6636;1;11.400;10.200;-4.082;-0.02;-0.04;0.01;0.07;0.04;4.43;-0.79;0.85
6637;1;11.400;10.600;-4.097;-0.04;-0.04;0.01;0.04;0.05;4.09;-0.81;0.78
6638;1;11.400;11.000;-4.113;-0.04;-0.03;0.01;0.01;0.07;3.55;-0.62;0.43
6639;1;11.400;11.400;-4.128;-0.03;-0.02;0.00;0.00;0.07;2.69;-0.13;-0.08
6640;1;11.400;11.800;-4.142;-0.02;-0.01;0.00;0.02;0.06;1.43;0.50;-0.30
6641;1;11.800;8.200;-4.102;0.06;-0.02;0.02;-0.14;0.07;9.18;0.19;-1.31
6642;1;11.800;8.600;-4.108;0.09;-0.01;0.01;-0.02;0.05;10.05;0.26;-0.67
6643;1;11.800;9.000;-4.113;0.08;-0.01;0.01;0.05;0.05;10.01;0.26;-0.25
6644;1;11.800;9.400;-4.117;0.05;-0.01;0.01;0.08;0.05;9.26;0.25;0.06
6645;1;11.800;9.800;-4.122;0.01;-0.01;0.01;0.08;0.05;8.00;0.22;0.29
6646;1;11.800;10.200;-4.128;-0.02;-0.01;0.00;0.06;0.06;6.40;0.20;0.45
6647;1;11.800;10.600;-4.133;-0.04;-0.01;0.00;0.03;0.06;4.66;0.18;0.51
6648;1;11.800;11.000;-4.137;-0.04;-0.01;0.00;-0.01;0.05;3.00;0.19;0.43
6649;1;11.800;11.400;-4.142;-0.03;0.00;0.00;-0.03;0.05;1.67;0.29;0.17
6650;1;11.800;11.800;-4.148;-0.01;0.00;0.00;-0.01;0.04;0.68;0.56;-0.13
6651;1;7.950;7.950;-3.175;-2.81;-50.63;-3.83;-0.74;-136.05;-115.97;-23.94;-15.37
6652;1;7.950;7.850;-3.200;-0.41;-7.31;-0.54;39.75;-9.76;-41.30;-25.47;-4.56
6653;1;7.950;7.750;-3.224;-0.76;-2.02;-1.51;21.92;12.06;-31.82;-1.40;-3.04
6654;1;7.950;7.650;-3.249;-0.11;-0.95;-1.29;9.88;11.42;-28.79;10.39;-1.24
6655;1;7.950;7.550;-3.274;0.28;-0.43;-0.99;2.94;8.58;-24.86;16.16;0.50
6656;1;7.950;7.450;-3.298;0.42;-0.19;-0.76;-0.37;6.31;-21.02;18.85;1.89
6657;1;7.950;7.350;-3.323;0.44;-0.08;-0.57;-1.79;4.69;-17.74;19.91;3.04
6658;1;7.950;7.250;-3.348;0.40;-0.05;-0.43;-2.19;3.49;-15.12;20.00;3.94
6659;1;7.950;7.150;-3.372;0.35;-0.05;-0.32;-2.08;2.58;-13.11;19.40;4.62
6660;1;7.950;7.050;-3.397;0.29;-0.06;-0.24;-1.72;1.86;-11.58;18.31;5.12
6661;1;7.950;6.950;-3.422;0.23;-0.08;-0.17;-1.29;1.29;-10.41;16.85;5.45
6662;1;7.950;6.850;-3.446;0.19;-0.09;-0.12;-0.89;0.84;-9.49;15.17;5.65
6663;1;7.950;6.750;-3.471;0.15;-0.09;-0.09;-0.57;0.47;-8.70;13.38;5.75
6664;1;7.950;6.650;-3.496;0.11;-0.08;-0.06;-0.30;0.17;-7.94;11.41;5.72
6665;1;7.950;6.550;-3.520;0.09;-0.07;-0.04;-0.18;-0.11;-7.33;9.50;5.60
6666;1;7.950;6.450;-3.545;0.09;-0.06;-0.03;-0.16;-0.24;-6.95;7.95;5.52
6667;1;7.950;6.350;-3.570;0.08;-0.05;-0.02;-0.12;-0.29;-6.63;6.61;5.41
6668;1;7.950;6.250;-3.595;0.07;-0.04;-0.02;-0.11;-0.35;-6.35;5.51;5.31
6669;1;7.950;6.150;-3.619;0.07;-0.03;-0.01;-0.12;-0.36;-6.18;4.60;5.24
6670;1;7.950;6.050;-3.644;0.08;-0.02;-0.01;-0.13;-0.34;-6.07;3.83;5.19
6671;1;7.850;7.950;-3.200;-8.58;-17.34;-9.63;-44.05;-89.69;-63.08;-91.32;-41.38
6672;1;7.850;7.850;-3.224;-3.97;-9.98;-2.59;23.25;-41.65;-45.89;-50.85;-7.76
