element_number;x[m];y[m];t[mm]
450.0;-2.375;0.375;60.1279125065
451.0;-2.375;0.625;60.1350381785
452.0;-2.375;0.875;60.1287678234
453.0;-2.375;1.125;60.1296783438
454.0;-2.375;1.375;60.1297902305
455.0;-2.375;1.625;60.1297292635
456.0;-2.375;1.875;60.1297365497
457.0;-2.375;2.125;60.1297311341
458.0;-2.375;2.375;60.1297510667
459.0;-2.375;2.625;60.1298223169
460.0;-2.375;2.875;60.129318223
461.0;-2.375;3.125;60.1298807707
462.0;-2.375;3.375;60.1370986588
463.0;-2.125;0.125;59.9182273311
464.0;-2.125;0.375;60.1471047529
465.0;-2.125;0.625;60.1302570024
466.0;-2.125;0.875;60.1294986528
467.0;-2.125;1.125;60.129610104
468.0;-2.125;1.375;60.1298188965
469.0;-2.125;1.625;60.129715176
470.0;-2.125;1.875;60.1297247598
471.0;-2.125;2.125;60.1297202323
472.0;-2.125;2.375;60.1297297689
473.0;-2.125;2.625;60.1298365142
474.0;-2.125;2.875;60.1292042087
475.0;-2.125;3.125;60.1295717571
476.0;-2.125;3.375;60.1394638192
477.0;-1.875;0.125;61.6918796165
478.0;-1.875;0.375;60.1239719382
479.0;-1.875;0.625;60.1455405971
480.0;-1.875;0.875;60.1272552134
481.0;-1.875;1.125;60.1298634097
482.0;-1.875;1.375;60.1296628738
483.0;-1.875;1.625;60.1297457384
484.0;-1.875;1.875;60.1297316595
485.0;-1.875;2.125;60.1297287971
486.0;-1.875;2.375;60.1297388012
487.0;-1.875;2.625;60.1298731138
488.0;-1.875;2.875;60.1290515068
489.0;-1.875;3.125;60.1297488828
490.0;-1.875;3.375;60.1419941816
491.0;-1.625;0.125;72.0569238137
492.0;-1.625;0.375;61.6639133646
493.0;-1.625;0.625;60.0654272304
494.0;-1.625;0.875;60.1474197831
495.0;-1.625;1.125;60.1286261342
496.0;-1.625;1.375;60.1304046709
497.0;-1.625;1.625;60.129690971
498.0;-1.625;1.875;60.1297462788
499.0;-1.625;2.125;60.1297197522
500.0;-1.625;2.375;60.1297320981
501.0;-1.625;2.625;60.1299057124
502.0;-1.625;2.875;60.1289022221
503.0;-1.625;3.125;60.1296835872
504.0;-1.625;3.375;60.1448815348
505.0;-1.375;0.125;92.0072905518
506.0;-1.375;0.375;72.0321136845
507.0;-1.375;0.625;61.7635413479
508.0;-1.375;0.875;60.0483093752
509.0;-1.375;1.125;60.1448588347
510.0;-1.375;1.375;60.1250174778
511.0;-1.375;1.625;60.130404259
512.0;-1.375;1.875;60.1296624163
513.0;-1.375;2.125;60.1298221136
514.0;-1.375;2.375;60.1297919584
515.0;-1.375;2.625;60.1299920354
516.0;-1.375;2.875;60.1287808288
517.0;-1.375;3.125;60.1293226737
518.0;-1.375;3.375;60.1481056832
519.0;-1.125;0.125;121.285326569
520.0;-1.125;0.375;91.9815992669
521.0;-1.125;0.625;72.0238282703
522.0;-1.125;0.875;61.685658626
523.0;-1.125;1.125;60.1292214033
524.0;-1.125;1.375;60.1448549994
525.0;-1.125;1.625;60.1286247707
526.0;-1.125;1.875;60.1298627576
527.0;-1.125;2.125;60.1296137087
528.0;-1.125;2.375;60.1296803852
529.0;-1.125;2.625;60.1299755421
530.0;-1.125;2.875;60.1284910439
531.0;-1.125;3.125;60.1297852008
532.0;-1.125;3.375;60.1518522206
533.0;-0.875;0.125;159.816177774
534.0;-0.875;0.375;121.254611712
535.0;-0.875;0.625;91.9708062819
536.0;-0.875;0.875;72.0455217019
537.0;-0.875;1.125;61.6856173091
538.0;-0.875;1.375;60.0482694677
539.0;-0.875;1.625;60.1473961506
540.0;-0.875;1.875;60.1272369282
541.0;-0.875;2.125;60.1294865921
542.0;-0.875;2.375;60.1287577487
543.0;-0.875;2.625;60.129686571
544.0;-0.875;2.875;60.1280679085
545.0;-0.875;3.125;60.1296364961
546.0;-0.875;3.375;60.1597111849
547.0;-0.625;0.125;207.356570697
548.0;-0.625;0.375;159.768757798
549.0;-0.625;0.625;121.245342361
550.0;-0.625;0.875;91.9714399302
551.0;-0.625;1.125;72.0241022645
552.0;-0.625;1.375;61.763712022
553.0;-0.625;1.625;60.0655604923
554.0;-0.625;1.875;60.1456462125
555.0;-0.625;2.125;60.1303436656
556.0;-0.625;2.375;60.1351145312
557.0;-0.625;2.625;60.1322064346
558.0;-0.625;2.875;60.1282576672
559.0;-0.625;3.125;60.1280078698
560.0;-0.625;3.375;60.164873675
561.0;-0.375;0.125;264.382588484
562.0;-0.375;0.375;207.42654812
563.0;-0.375;0.625;159.76899307
564.0;-0.375;0.875;121.254059895
565.0;-0.375;1.125;91.9813891902
566.0;-0.375;1.375;72.0321965391
567.0;-0.375;1.625;61.6638648557
568.0;-0.375;1.875;60.1239371554
569.0;-0.375;2.125;60.1471137098
570.0;-0.375;2.375;60.1278887407
571.0;-0.375;2.625;60.1301920984
572.0;-0.375;2.875;60.1262905064
573.0;-0.375;3.125;60.1299204359
574.0;-0.375;3.375;60.1800725201
575.0;-0.125;0.125;310.884780317
576.0;-0.125;0.375;264.334675943
577.0;-0.125;0.625;207.366623491
578.0;-0.125;0.875;159.804589634
579.0;-0.125;1.125;121.280851097
580.0;-0.125;1.375;92.0045361936
581.0;-0.125;1.625;72.0546686163
582.0;-0.125;1.875;61.6901314917
583.0;-0.125;2.125;59.9167758003
584.0;-0.125;2.375;60.0594756108
585.0;-0.125;2.625;60.0997600425
586.0;-0.125;2.875;60.1134516009
587.0;-0.125;3.125;60.1362455839
588.0;-0.125;3.375;60.3382478416
589.0;0.125;0.125;310.884780317
590.0;0.125;0.375;264.334675943
591.0;0.125;0.625;207.366623491
592.0;0.125;0.875;159.804589634
593.0;0.125;1.125;121.280851097
594.0;0.125;1.375;92.0045361936
595.0;0.125;1.625;72.0546686163
596.0;0.125;1.875;61.6901314917
597.0;0.125;2.125;59.9167758003
598.0;0.125;2.375;60.0594756108
599.0;0.125;2.625;60.0997600425
600.0;0.125;2.875;60.1134516009
