Knoten;;Bezugs-;Koordinaten-;Knotenkoordinaten;;;
Nr.;Knotentyp;Knoten;System;X [m];Y [m];Z [m];Kommentar
248;Standard;0;Kartesisch;1.100;-1.600;-3.715;
249;Standard;0;Kartesisch;1.100;-1.700;-3.733;
250;Standard;0;Kartesisch;1.100;-1.800;-3.751;
251;Standard;0;Kartesisch;1.100;-1.900;-3.769;
252;Standard;0;Kartesisch;1.100;-2.000;-3.788;
253;Standard;0;Kartesisch;1.200;0.000;-3.450;
254;Standard;0;Kartesisch;1.200;-0.100;-3.468;
255;Standard;0;Kartesisch;1.200;-0.200;-3.485;
256;Standard;0;Kartesisch;1.200;-0.300;-3.503;
257;Standard;0;Kartesisch;1.200;-0.400;-3.520;
258;Standard;0;Kartesisch;1.200;-0.500;-3.538;
259;Standard;0;Kartesisch;1.200;-0.600;-3.555;
260;Standard;0;Kartesisch;1.200;-0.700;-3.573;
261;Standard;0;Kartesisch;1.200;-0.800;-3.590;
262;Standard;0;Kartesisch;1.200;-0.900;-3.608;
263;Standard;0;Kartesisch;1.200;-1.000;-3.625;
264;Standard;0;Kartesisch;1.200;-1.100;-3.643;
265;Standard;0;Kartesisch;1.200;-1.200;-3.660;
266;Standard;0;Kartesisch;1.200;-1.300;-3.678;
267;Standard;0;Kartesisch;1.200;-1.400;-3.695;
268;Standard;0;Kartesisch;1.200;-1.500;-3.713;
269;Standard;0;Kartesisch;1.200;-1.600;-3.730;
270;Standard;0;Kartesisch;1.200;-1.700;-3.748;
271;Standard;0;Kartesisch;1.200;-1.800;-3.765;
272;Standard;0;Kartesisch;1.200;-1.900;-3.783;
273;Standard;0;Kartesisch;1.200;-2.000;-3.800;
274;Standard;0;Kartesisch;1.300;0.000;-3.475;
275;Standard;0;Kartesisch;1.300;-0.100;-3.492;
276;Standard;0;Kartesisch;1.300;-0.200;-3.509;
277;Standard;0;Kartesisch;1.300;-0.300;-3.526;
278;Standard;0;Kartesisch;1.300;-0.400;-3.543;
279;Standard;0;Kartesisch;1.300;-0.500;-3.559;
280;Standard;0;Kartesisch;1.300;-0.600;-3.576;
281;Standard;0;Kartesisch;1.300;-0.700;-3.593;
282;Standard;0;Kartesisch;1.300;-0.800;-3.610;
283;Standard;0;Kartesisch;1.300;-0.900;-3.627;
284;Standard;0;Kartesisch;1.300;-1.000;-3.644;
285;Standard;0;Kartesisch;1.300;-1.100;-3.661;
286;Standard;0;Kartesisch;1.300;-1.200;-3.678;
287;Standard;0;Kartesisch;1.300;-1.300;-3.694;
288;Standard;0;Kartesisch;1.300;-1.400;-3.711;
289;Standard;0;Kartesisch;1.300;-1.500;-3.728;
290;Standard;0;Kartesisch;1.300;-1.600;-3.745;
291;Standard;0;Kartesisch;1.300;-1.700;-3.762;
292;Standard;0;Kartesisch;1.300;-1.800;-3.779;
293;Standard;0;Kartesisch;1.300;-1.900;-3.796;
294;Standard;0;Kartesisch;1.300;-2.000;-3.813;
295;Standard;0;Kartesisch;1.400;0.000;-3.500;
296;Standard;0;Kartesisch;1.400;-0.100;-3.516;
297;Standard;0;Kartesisch;1.400;-0.200;-3.533;
298;Standard;0;Kartesisch;1.400;-0.300;-3.549;
299;Standard;0;Kartesisch;1.400;-0.400;-3.565;
300;Standard;0;Kartesisch;1.400;-0.500;-3.581;
301;Standard;0;Kartesisch;1.400;-0.600;-3.598;
302;Standard;0;Kartesisch;1.400;-0.700;-3.614;
303;Standard;0;Kartesisch;1.400;-0.800;-3.630;
304;Standard;0;Kartesisch;1.400;-0.900;-3.646;
